Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/metrics,2807,2807,2,2.528261132865905,0.8553000006941147,22.844399998575682,22.0,68.09582898266142,68.09582898266142,2,2,2,2,3,11,14,16,21,23,23
POST,/api/v1/trigger-etl,927,927,2,2.337602049573617,0.882099997397745,21.070599999802653,22.0,22.48836247485826,22.48836247485826,2,2,2,2,3,4,13,15,21,21,21
,Aggregated,3734,3734,2,2.480928253858955,0.8553000006941147,22.844399998575682,22.0,90.58419145751968,90.58419145751968,2,2,2,2,3,11,14,16,21,23,23
