Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/trigger-etl,HTTPError('404 Client Error: Not Found for url: /api/v1/trigger-etl'),904,2026-08-30T20:31:20Z,2026-08-30T20:32:00Z
GET,/api/v1/metrics,HTTPError('404 Client Error: Not Found for url: /api/v1/metrics'),2744,2026-08-30T20:31:20Z,2026-08-30T20:32:00Z
